ID,user_id,item_id
12,12,"4798,5303,10326,4277,8562,2140,12857,8421,8483,10916"
14,14,"6220,13296,1290,9942,6971,8562,4798,10326,7637,544"
17,17,"1328,10326,1221,7480,544,4798,4072,1290,1261,8093"
21,21,"10326,4798,6220,4277,544,2140,8421,6971,8562,6326"
44,44,"1290,11298,7120,1244,11024,9101,9962,4664,789,10607"
55,55,"10326,8562,4798,2218,13296,4277,10916,3950,13346,6220"
56,56,"6971,2343,89,5495,12665,8922,4798,7983,9693,5199"
58,58,"10326,4798,6971,8562,4277,544,13346,5303,3950,6433"
59,59,"4798,3950,6220,10326,13346,4277,9942,12857,5545,8421"
79,79,"10326,6220,4798,13346,4277,8562,2343,6971,544,3950"
81,81,"1290,7120,11298,9101,2989,544,12869,1244,4929,4576"
85,85,"4798,10326,8562,2140,5303,6971,8590,12857,6220,2218"
92,92,"1290,11298,7120,12869,11024,4576,10389,1779,4664,9295"
97,97,"3950,12665,13346,9942,4798,2218,5495,3055,4602,10326"
100,100,"4798,13346,8562,10326,2140,8421,10916,3950,8161,6433"
112,112,"3950,6971,4798,6220,2140,7707,12857,8562,10326,9733"
122,122,"10326,8562,3950,4277,4798,6220,217,717,10568,6326"
133,133,"2343,9693,9532,8590,544,8483,9942,6659,1323,6220"
141,141,"1290,6220,13296,8562,1863,7120,544,6971,5149,8703"
144,144,"9295,6954,13330,12449,7188,816,1166,544,4798,5238"
149,149,"1290,7120,11298,4929,4576,10663,7679,10674,1244,2916"
153,153,"3950,4798,10326,6220,8562,2218,5303,12857,13346,8421"
166,166,"6971,1290,9532,5001,3464,9375,7120,8235,544,2989"
220,220,"8562,4798,6220,13346,8413,9942,2218,6326,5545,12665"
231,231,"3950,2343,9693,9532,5199,9404,5532,12665,13346,3507"
262,262,"1290,10326,6971,4798,7120,12857,4929,5303,8205,13346"
274,274,"6220,6971,2218,544,4798,1290,2140,10326,3950,12665"
277,277,"2343,544,4277,4576,12470,12665,13346,6971,89,5545"
281,281,"1290,7120,4929,6971,9295,11298,10663,789,5135,1244"
291,291,"217,3428,717,8421,4798,7802,5303,8792,1735,10326"
300,300,"10326,6220,8562,4798,6971,5303,4277,9942,2140,544"
310,310,"4798,5303,10326,8562,2218,544,2140,11384,6220,31"
332,332,"5495,12470,13306,609,8188,5155,3565,1642,3357,10236"
344,344,"10326,4798,4277,8562,217,6433,8421,12857,10594,13249"
359,359,"1290,6220,544,7120,13296,89,2989,9101,11298,4576"
380,380,"5495,5199,2903,10835,2343,5532,4117,544,3950,9942"
386,386,"6220,9942,8562,3950,12665,4798,3428,4277,6971,13346"
426,426,"3950,13346,6220,3055,2218,8562,12665,89,5199,5524"
436,436,"4798,10326,4277,8562,6971,12857,13346,2140,544,8421"
453,453,"6220,6971,89,4798,544,2218,8562,5545,13346,9532"
461,461,"7120,544,2989,6971,10326,4929,1244,9101,10663,9962"
464,464,"2140,4798,10326,7138,2291,9306,544,1290,6588,8562"
473,473,"5495,12665,8224,6378,544,896,8562,1290,11019,10326"
481,481,"10326,6220,4798,217,6383,717,350,8421,11969,10077"
490,490,"4277,275,350,4798,10326,8483,9340,10568,3428,544"
494,494,"4798,8562,6220,10326,6971,5303,3950,12665,9942,13346"
497,497,"1290,2989,7120,12869,7679,9730,11298,7669,12655,11554"
510,510,"2343,544,3950,6220,9942,13346,3428,5532,64,12665"
511,511,"10326,4798,6220,8562,8421,12857,2140,4277,5303,717"
