experiment,group,recall_at_10_all_valid_users,recall_at_10_target_overlap_users,time_sec,notes
recent_pop_180d,standalone_signal,0.012216480873197292,0.0174424062750911,1.0074586868286133,Timestamp-only recent popularity.
LightGCN + recent_pop_180d alpha=0.3,blend_recent_pop_180d,0.015106844584456524,0.01696714223951578,4.896023511886597,rrf score blend with alpha=0.3
LightGCN + recent_pop_365d alpha=0.3,blend_recent_pop_365d,0.014807291299828612,0.01696714223951578,4.773797035217285,rrf score blend with alpha=0.3
LightGCN + recent_pop_180d alpha=0.2,blend_recent_pop_180d,0.01411144620099844,0.016059230436662342,4.903958082199097,rrf score blend with alpha=0.2
LightGCN + recent_pop + sequence,controlled_combo,0.014991430663072455,0.01592952875054042,5.286032676696777,Controlled multi-signal blend using best individual alpha values; not a reranker.
LightGCN + recent_pop_365d alpha=0.2,blend_recent_pop_365d,0.013983706521019953,0.015125378296584521,4.758437395095825,rrf score blend with alpha=0.2
LightGCN + sequence_transition alpha=0.2,blend_sequence_transition,0.012090608732399777,0.014338521400778207,3.995734453201294,rrf score blend with alpha=0.2
LightGCN + SASRec + sequence,controlled_combo,0.01189675816541488,0.01420881971465629,5.075011253356934,Controlled multi-signal blend using best individual alpha values; not a reranker.
LightGCN + recent_pop_180d alpha=0.15,blend_recent_pop_180d,0.014021590887262526,0.014152615650670124,4.812761306762695,rrf score blend with alpha=0.15
LightGCN + category_pop_365d alpha=0.3,blend_category_pop_365d,0.012606743203758129,0.014100734976221357,4.845870733261108,rrf score blend with alpha=0.3
LightGCN + category_pop_365d alpha=0.2,blend_category_pop_365d,0.011977435858032874,0.014009943795936012,4.790345191955566,rrf score blend with alpha=0.2
recent_pop_365d,standalone_signal,0.011020562139965126,0.013873448211969612,0.9789118766784668,Timestamp-only recent popularity.
LightGCN + content_tfidf alpha=0.1,blend_content_tfidf,0.0118113849457133,0.013612191958495461,52.89461088180542,rrf score blend with alpha=0.1
LightGCN + content_tfidf alpha=0.15,blend_content_tfidf,0.011738550917655393,0.013612191958495461,52.921220541000366,rrf score blend with alpha=0.15
LightGCN + recent_pop_365d alpha=0.15,blend_recent_pop_365d,0.0133828924873701,0.013504107220060525,4.786113739013672,rrf score blend with alpha=0.15
LightGCN + LightGCN_time_graph alpha=0.3,blend_LightGCN_time_graph,0.01231562052457575,0.013445741461305664,5.075060606002808,rrf score blend with alpha=0.3
LightGCN + content_tfidf alpha=0.3,blend_content_tfidf,0.011760374446941611,0.013339818417639428,53.12183690071106,rrf score blend with alpha=0.3
LightGCN + sequence_transition alpha=0.15,blend_sequence_transition,0.011975194811015704,0.013236057068741893,4.023180246353149,rrf score blend with alpha=0.15
LightGCN + sequence_transition alpha=0.05,blend_sequence_transition,0.011921943265226847,0.013223086900129702,3.9646596908569336,rrf score blend with alpha=0.05
LightGCN + sequence + content,controlled_combo,0.011717474404041568,0.013171206225680934,55.126322746276855,Controlled multi-signal blend using best individual alpha values; not a reranker.
LightGCN + content_tfidf alpha=0.2,blend_content_tfidf,0.01142181627256254,0.01314526588845655,53.32764530181885,rrf score blend with alpha=0.2
LightGCN + sequence_transition alpha=0.1,blend_sequence_transition,0.01191970221820968,0.013106355382619976,3.9722166061401367,rrf score blend with alpha=0.1
LightGCN + LightGCN_time_graph alpha=0.02,blend_LightGCN_time_graph,0.011773287146421474,0.013093385214007781,4.974603176116943,rrf score blend with alpha=0.02
LightGCN + LightGCN_time_graph alpha=0.035,blend_LightGCN_time_graph,0.011710537829940814,0.013093385214007781,5.038816690444946,rrf score blend with alpha=0.035
